"","X1264","X603","X671","X375","X1753","X647","X761","X1192","X637","X1205","X402","X356","X623","X420","X700","X1133","X1275","X1204","X808","X841","X1371","X1229","X1859","X335","X1055","X1234","X446","X1079","X803","X313","X351","X592","X809","X507","X1939","X797","X123","X253","X1170","X1527","X494","X655","X598","X972","X631","X308","X951","X714","X728","X582","X1422","X722","X452","X969","X1162","X861","X195","X729","X632","X219","X169","status"
"11",470.49,871.71,524.4,725.8,205.53,716.42,511.56,512.95,444.5,280.87,907.39,1095.15,456.79,604.68,598.46,491.97,332.55,308.28,788.6,632.98,213.96,252.41,323.65,809.51,472.96,606.69,598.8,347.93,438.37,1310.75,1019.7,727.27,360.17,813.18,259.11,782.49,1842.7,1212.82,599.79,282.94,728.38,688.18,665.24,247.08,544.22,1376.3,393.62,330.61,779.64,609.01,377.28,619.74,842.11,543.68,471.41,384.58,2211.17,867.55,574.41,1258.46,2343.16,"t"
"12",111.74,281.58,214.98,397.24,132.82,279.13,180.08,355.84,284.73,143.44,507.26,581.51,333.38,225.96,336.31,367.38,89.33,111.59,508.78,167.97,63.18,80.4,153.03,303.78,134.2,191.38,505.8,200.03,178.07,323.19,333.39,260.39,235.99,235.05,124.3,284.58,540.94,634.79,137.52,117.91,398.27,174.4,413.52,261.87,290.05,370.4,220.43,247.97,255.23,392,104.67,374.32,651.89,318.97,312.18,109.54,688.22,226.27,396.67,975.18,1042.68,"n"
"13",107.49,241.22,184.76,333.21,36.96,259.11,174.54,147.91,201.69,98.05,487.81,379.09,241.1,275.2,265.61,150.38,119.88,103.02,206.56,114.72,43.06,83.83,119.95,285.66,88.83,192.15,225.66,159.97,152.38,281.27,240.07,208.45,131.55,205.37,93.69,118.7,676,541.3,144.85,65.55,400.82,183.34,251.55,84.06,240.63,367.43,155.54,206.3,190.56,267.95,88.19,261.22,314.57,111.7,154.87,106.32,713.58,243,131.51,260.41,789.98,"t"
"14",60.93,109.91,132.05,214.7,55.36,158.57,157.84,84.52,153.54,46.48,306.31,195.9,172.78,145.1,158.02,168.18,71.06,80.38,107.64,65.74,43.81,50.45,65.16,171.54,67.95,132.11,224.82,73.47,145.22,160.66,192.41,169.43,85.71,148.14,101.17,117.44,541.39,380.46,62.68,52.93,341.53,106.77,187.13,79.79,183.35,173.52,114.58,132.78,164.63,262.37,40.7,156.76,231.03,64.25,94.77,69.97,384.71,167.86,159.4,392.78,776.88,"n"
"15",93.64,244.67,221.79,358.7,39.22,347.98,171.68,53.58,251.61,100.38,323.03,229.82,164.31,243.34,230.03,161.5,128.74,147.15,174.34,152.89,100.44,93.52,92.66,216.71,138.37,206.69,230.43,126.21,167.54,246.45,408.89,251.18,204.72,224.8,117.89,137.55,864.46,531.99,115.34,106.49,451.12,168.05,189.53,114.02,142.09,226.39,124.94,185.71,324.64,297.59,145.91,174.48,257.56,134.15,139.91,101.68,499.22,322.09,187.78,474.4,1233.1,"t"
"16",24.29,59.58,81.86,115.44,32.89,162.02,126.01,35.07,102.64,45.57,138.48,117.35,135.85,125.1,87.29,99.13,74.92,70.36,39.91,45.24,31.49,30.14,23.88,98.96,46.68,69.93,147,38.09,79.57,139.61,157.91,102.98,71,136.3,53.03,69.46,258.2,179.23,62.74,13.9,195.02,100.1,89.9,67.85,50.02,186.93,67.56,68.3,118.87,117.37,51.63,93.38,131.38,29.82,73.24,68.23,268.46,87.84,100,176.17,366.14,"n"
"17",44.29,61.04,104.14,104.69,42.79,93.22,43.91,76.14,117.53,48.46,228.45,299.33,213.56,88.75,144.83,142.36,27.09,43.78,162.81,73.09,28.98,25.47,43.25,101.4,49.19,44.08,257.05,120.41,44.64,113.22,110.35,92.55,50.35,81.24,6.8,44.17,238.49,287.91,48.28,34.3,201.23,76.91,190.29,67.43,145.82,105.94,135,133.77,41.73,220.33,40,210.13,242.86,73.84,71.2,43.77,188.21,51.52,137.79,324.67,241.76,"t"
"18",49.52,55.11,111.19,103.6,32.61,74.9,43.36,104.39,101.7,47.43,237.7,255.92,173.91,105.01,151.79,123.53,23.04,41.49,160.99,38.4,36.11,33.74,57.02,107.32,26.86,73.79,240.95,84.93,48.34,97.01,87.52,67.03,48.48,71,38.07,137.34,251.4,294.44,38.05,26.43,240.93,69.64,140.47,72.85,144.91,129.56,117.27,179.38,64.33,206.48,16.05,154.35,282.74,111.57,114.54,36.11,153.12,51.39,188.67,383.08,245.94,"n"
"19",30.53,116.65,161.24,131.66,61.93,91.67,95.9,116.7,171.86,56.99,240.07,271.1,120.39,145.77,176.17,97.09,33.03,75.37,197.52,46.41,29.81,24.71,53.42,144.31,53.42,93.76,235.76,69.61,63.33,119.65,157.65,92.83,52.01,86.78,53.87,154.92,238.58,289.6,81.03,26.43,213.5,79.8,177.64,103.58,126.13,186.46,112.4,135.62,99.76,207,45.07,225.28,230.66,61.09,120.59,39.6,344,103.3,145.37,380.84,331.13,"t"
"20",98.08,187.91,141.23,299.42,52.03,203.27,167.07,101.15,203.27,90.18,254.22,277.66,139.62,209.75,201.16,123.19,98.51,98.81,148.64,140.62,76.03,60.22,57.1,240.8,147,170.16,237.33,66.83,138.23,236.6,243.78,229.72,143.49,143.93,114.95,196.32,534.15,280.49,92.26,87.75,287.92,170.54,206.69,102.63,151.41,238.06,121.65,161.66,216.04,269.1,124.84,142.05,276.41,81.16,121.78,100.84,504.58,197.27,178.77,414.96,674.96,"n"
"21",192.25,257.85,227.58,378.76,77.9,300.82,259.6,255.19,275.82,136.46,546.31,436.47,280.51,427.36,294.32,259.25,158.94,168.13,336.47,239.67,151.93,117.56,111.89,278.4,180.12,258.94,357.47,185.41,213.43,311.8,403.51,302.26,249.91,511.39,147,299.2,1129.96,616,189.92,127.27,398.11,172.01,317.91,149.53,236.81,522.07,204.09,298.94,345.62,320.48,177.43,282.07,429.49,179.75,289.01,159.99,483.77,215.26,264.86,933.28,1068.03,"t"
"22",207.82,400.34,296.55,594.12,111.84,381.94,338.53,285.64,368.92,160,668.06,503.2,319.31,487.34,413.46,347.26,240.29,277.12,381.97,315.79,175.43,186.55,123.52,378.32,254.72,445.13,373.7,174.22,353.85,515.2,685.23,561.99,390.33,484.84,268.93,269.1,1683.2,944.91,203.99,149.48,790.78,244.21,420.62,192.22,292.65,605.31,302.01,301.44,509,478.82,222.66,295.39,577.05,276.14,274.62,230.35,682.78,326.25,305.78,876.55,1857.19,"n"
"23",66.15,110.28,64.9,192.15,10.06,174.55,72.79,56.3,74.3,32.4,108.08,105.6,103.88,161.45,84.44,50.78,46.59,55.2,120.56,131.36,39.17,25.55,9.22,229.08,43.88,84.59,138.73,60.74,87.23,287.38,197.18,135.37,70.2,202.51,72.8,37.92,403.64,143.36,70.59,62.24,148.45,152.94,123.5,60.82,76.38,277.62,69.73,85.77,110.43,104.7,47.15,124.6,160.69,67.28,53.68,84.55,343.52,137.26,153.84,295.8,407.13,"t"
"24",19.88,51.55,45.82,75.4,14.69,48.03,39.49,21.9,48.38,21.57,70.46,77.61,49.93,67.96,43.58,23.78,27.61,24.7,37.17,54.58,17.14,20.8,8.3,82.33,40.94,77.62,64.78,26.37,37.3,87.14,78.36,52.12,37.09,59.49,36.57,45.59,185.98,102.18,22.63,22.66,76.18,47.24,51.83,29.63,48.83,94.84,30.52,42.7,76.02,53.48,18.16,42.27,64.48,33.17,23.06,34.54,120.76,41.67,48.72,113.12,138.82,"n"
"25",156.27,176.38,205.31,355.5,66.25,376.52,202.52,205.05,215.06,104.28,484.21,379.38,240.61,329.18,196.81,194.54,73.98,122.9,302.38,145.94,104.03,49.29,117.88,302.46,85.43,200.78,281.51,161.01,166.84,340.67,329.12,233.57,145.56,322.91,137.33,241.3,710.85,468.68,139.34,92.32,440.39,255.32,212.2,151.12,188.36,473.65,157.27,251.73,241.7,314.19,114.73,271.7,299.35,195.44,211.39,170.26,619.92,232.08,259.11,561.25,886.58,"t"
"26",175.4,291.53,125.15,241.77,61.65,177.77,133.71,173.71,174.35,95.13,354.33,300.03,165.85,261.08,170.04,148.13,76.85,105,238.43,189.06,55.53,68.7,77.38,352.17,107.67,163.47,224.02,138.3,112.86,282.17,220.57,230.34,150.93,426.58,72.56,165.49,440.62,363.79,178.58,90.09,251.39,224.62,199.7,87.63,161.45,475.19,178.73,186.02,165.03,177.09,108.05,234.64,266.78,171.53,205,135.9,753,301,134.61,612.66,676.1,"t"
"27",150.27,188.17,92.55,276.31,51.45,222.36,148.42,131.93,159.62,89.25,289.59,246.34,144.74,312.38,140.22,121.86,100.46,129.22,217.35,183.23,72.63,81.86,68.83,263.38,120.7,182.35,199.64,91.35,125.12,333.25,223.65,252.98,133.78,366.29,78.83,151.45,548.58,276.62,160.71,75.42,214.19,212.55,167.89,90.52,150.28,415.38,141.95,180.96,200.78,145.9,93.57,188.55,230.28,117.85,161.09,191.94,752.09,233.29,132.3,583.43,639.78,"t"
"28",281.08,331.97,225.24,444.08,123.83,350.55,234.09,271.55,289.68,118.64,449.78,489.99,245.87,624.31,252.16,227.24,138.29,120.79,386.31,259.46,114.67,100.74,151.64,427.35,210.15,260.16,400.66,221.68,166,522.22,384.57,395.79,198.66,587.55,124.3,318.48,624.78,506.97,212.03,98.73,469.23,353.03,317.99,99.14,269.27,621.37,204.33,347.1,303.55,342.94,221,340.96,379.84,177.25,187.04,264.97,992.24,358.75,272.66,896.76,1011.92,"t"
"29",528.09,588.01,356.68,852.56,207.9,725.43,451.34,362.06,484.14,222.16,1002.56,823.8,440.13,919,551.01,377.58,242.92,369.53,555.6,481.68,242.59,207.39,282.3,814.28,388.11,517.12,498.53,313.42,392.22,944.46,732.2,636.53,348.21,847.59,212.17,520.89,1398.83,752.44,430.18,228.27,783.16,539.89,523.67,326.39,325.96,1295.48,404.77,532.11,642.28,519.88,375.94,538.19,706.74,304.56,404.61,423.52,1661.78,492.35,289.41,1231.19,2010.43,"t"
"30",488.74,476.09,305.86,559.98,140.04,507.25,311.69,381.01,449.41,174.01,757.88,671.54,364.81,724.58,367.82,340.69,198.41,257.92,472.09,292.33,159.42,125.01,196.64,526.6,232.95,445.72,553.53,254.1,250.29,860.17,478.62,429.24,417.87,829.18,278,401.88,937,741.24,302.97,187.65,621.09,412.69,450.7,264.95,331.66,1242.31,357.44,444.1,424.29,398.74,197.23,587.07,557.82,348.56,471.61,268.61,1361.72,330.3,381.64,1175.98,1387.02,"t"
"31",278.56,403.59,286.69,630.76,127.48,579.16,356.72,360.14,362.46,146.03,840.74,615.89,392.32,620.44,464.38,303.57,216.99,264.27,497.65,351.41,162.86,168.49,242.13,579.89,331.33,414.42,322.08,247.18,268.74,712.36,557.1,543.35,253.85,562.31,152.23,237.8,1197.83,733.53,206.66,197.58,652.03,334.4,386.7,233.26,408.45,530.12,394.02,471.27,458.36,354.95,305.68,305.19,714.44,246.69,240.5,384.42,784.04,438.71,222.18,844.08,1799.55,"t"
"32",171.67,215.78,139.37,333.12,65.92,213.44,153.41,221.26,195.88,113.66,452.67,358.26,187.09,366.48,209.12,173.38,96.26,119.3,400.6,181.32,54.14,70.58,156.14,307.19,113.59,187.9,204.44,180.41,111.36,340.68,174.31,201.2,139.53,382.27,57.34,177.05,440.76,396.15,189.78,62.84,291.92,238.03,228.99,132.94,193.16,499.07,181.08,237.78,162.91,214.16,120.2,205.82,301.71,156.68,212.48,247.05,608.47,202.96,149.54,513.32,694.44,"t"
"33",166.8,242.3,84.89,312.05,61.68,305.58,117.27,189.95,207.49,94.2,357.23,312.99,167.42,326.83,188.05,179.55,99.63,116.12,165.63,191.37,82.37,87.38,95.97,274.4,151.58,164,223.05,135.45,129.16,328.09,276.1,220.52,129.79,371.4,73.74,224.15,631.84,260.21,134.07,98.65,286.24,170.23,213.47,121.24,131.61,455.91,159.67,211.31,230.83,188.27,146.46,230.24,300.39,149.8,190.62,190.04,509.23,203.58,141.18,499.13,685.11,"t"
"34",224.86,390.88,246.39,488.14,92.84,373.98,188.61,321.16,231.68,124.89,686.79,512.15,287.36,569.01,317.86,218.03,156.27,216.76,417.16,256.69,129.57,108.8,184.36,441.58,172.87,262.51,265.26,217.11,162.68,405.88,398.92,420.65,186.56,587.31,122.38,269.91,752.68,597.23,150.47,109.58,509.01,322,324.23,166.49,282.09,774.81,237.62,294.23,255.92,326.81,211.01,282.78,371.97,193.94,262.88,296.47,771.99,339.88,165.35,558.04,876.17,"t"
"35",137.76,142.68,163.28,211.75,70.68,153.82,122.25,163.62,212.34,79.63,441.93,295.65,197.94,213.68,223.47,142.72,80.01,83.29,266.74,135.99,58.84,64.78,92.07,232.14,105.83,168.36,224.07,150.59,96.3,212.83,204.05,199.03,115.29,333.34,63.31,211.96,404.26,412.69,131.4,87.89,304.72,127.56,211.72,115.87,183.44,239.04,182.74,206.16,163.68,213.52,100.17,245.65,320.51,94.23,142.14,161.68,353.03,185.11,211.29,472.94,567.65,"t"
"36",173.17,155.86,65.99,214.17,34.4,144.21,96.74,127.33,96.29,57.6,224.85,172.71,104.34,241.09,96.73,69.74,78.87,68.09,203.5,156.31,73.01,57.49,59.4,251.52,99.62,153.54,130.29,64.14,65.68,253.41,153.39,180.88,114.76,358.23,65.67,125.22,389.05,291.47,143.53,53.83,172.92,124.2,120.57,52.19,102.61,444.27,118.21,127.98,134.61,81.56,93.18,144.36,164.48,100.93,105.57,172.7,508.25,166.92,115.5,298.45,399.91,"t"
"37",224.39,466.69,219.37,748.83,99.25,679.44,323.59,224.86,346.64,161.78,508.54,554.07,179.42,341.45,360.34,306.42,106.34,323.55,211.31,155.08,191.85,130.6,141.05,548.2,358.02,287.54,406.01,182.64,279.96,680.12,703.7,502.59,189.57,430.96,143.11,515.34,1034.28,405.77,193.93,225.81,591.56,387.39,394.71,257.8,221.94,682.22,308,333.01,548.92,321.55,273.12,352.58,464.78,331.74,256.71,210.03,863.36,411.46,137.97,542.13,1707.63,"t"
"38",181.07,161.49,55.41,215.95,36.56,165.07,92.43,88.39,84.18,38.69,173.11,128.79,89.85,297.18,75.9,87.34,74.31,55.86,152.67,163.98,64.55,65.59,40.71,213.04,84.95,156.97,106.59,52.98,87.01,287.31,145.39,202.13,110.97,468.5,58.04,141.43,442.08,174.45,182.94,56.69,148.83,169.03,101.74,40.13,83.21,309.26,73.81,129.27,147.45,80.39,83.92,111.64,142.25,83.7,113.08,146.92,575.52,219.53,104.23,371.24,469.72,"t"
"39",114.06,241.37,100.15,289.83,20.27,212.11,211.56,70.64,84.37,56.87,165.45,151.48,62.01,280.32,67.59,94.26,80,88.54,248.62,152.39,56.23,58.63,33.33,252.79,100.85,141.97,132.87,25.84,141.13,293.51,197.53,189.23,225.19,305.72,90.31,139.24,565.33,188.83,116.08,36.53,201.76,153.01,115.81,93.67,127.27,419.09,85.09,123.57,165.24,161.2,71.3,110.92,115.47,76.97,163.01,142.36,650.81,176.22,128.13,347.94,1209.41,"n"
"40",190.91,313.04,213.13,354.29,94.19,368.58,168.52,254.2,243.1,111.6,501.9,472.87,286.08,421,274.62,234.27,141.89,139.43,449.13,311.06,80.57,107.08,120.08,287.21,148.9,71.32,271.8,181.58,129.93,382.96,241.4,259.07,164.55,466.37,130.54,283.78,720.49,526.55,179.84,112.29,434.03,174,258.69,119.78,278.37,423.52,207.76,202.55,214.79,324.68,157.31,376.04,348.79,295.49,191.08,274.36,725.12,319.21,179.88,581.59,948.61,"t"
"41",53.92,99.55,75.31,157.55,28.81,85.34,71.68,109.89,79.45,37.09,155.36,162.54,79.74,140.79,78.74,63.61,40.78,21.59,113.89,94.04,36.3,31.35,40.01,134.29,44.69,67.24,120.02,47.73,51.67,99.31,82.85,102.54,48.68,149.05,38.08,111.14,304.15,230.07,53.54,36.03,153.25,79.08,76.31,56.44,80.32,248.62,89.12,124.69,79.62,108.26,77.52,125.15,100.55,65.92,144.21,84.16,259.81,106.3,136.88,216.89,329.03,"t"
"42",170.13,334.04,337.75,447.97,137.9,267.96,265.06,355.86,345.69,226.43,788.72,669.5,346.59,289.16,444.61,281.03,120.36,148.54,520.32,156.14,84.55,89.95,161.08,285,162.16,241.93,400.97,253.8,209.67,290.82,340.02,258.77,223.1,307.2,148.56,462.22,963.17,957.7,121.22,123.58,737.19,187.15,408.27,207.1,465.6,432.81,351.26,394.33,216.87,545.8,119.65,368.69,597.07,274.89,348.15,161.34,629.47,223.01,361.99,530.26,1540.32,"n"
"43",480.66,509.48,512.14,930.68,190.24,610.75,597.07,490.03,637.89,313.66,1160.53,757.32,458.59,638.33,622.51,525.92,312.7,326.38,864.05,607.51,235.22,238.21,233.73,489.61,359.98,510.67,539.72,251.22,370.65,646.12,695.64,520.58,459.24,726.78,283.92,680.44,1540.84,1145.75,366.46,209.66,1039.8,402.05,539.41,486.75,523.03,1040.8,436.54,460.38,565.42,653.98,342.57,571.23,955.2,382.69,549.52,571.09,1189.05,474.95,622.49,1365.32,3026.49,"n"
"44",409.08,500.2,416.17,658.48,168.8,547.32,479.78,413.6,526.37,284.01,1183.86,863.7,517.53,559.03,575.35,383.67,295.32,263.6,864.19,475.17,144.87,155.46,304.2,515.39,269.26,411.38,476.68,375,286.48,975.3,564.69,409.75,358.69,614.9,276.07,604.36,1287.12,1143.9,460.75,172.82,773.07,362.21,502.33,333.4,576.56,1077.47,424.76,418.36,390.63,519.09,254.46,618.97,749.21,781.45,523.47,422.12,1318.38,452.1,559.6,1514.99,1579.35,"t"
"45",597.97,758.48,461.61,1025.95,228.06,671.71,754.54,486.3,604.75,330.55,1010.27,835.8,590.67,976.59,682.11,522.87,372.81,354.04,759.39,581.76,230.73,251.13,265.7,838.38,375.97,636.14,803.2,392.34,570.72,851.22,834.33,649.55,632.41,1201.95,340.66,656.41,2251.04,1218.06,489.97,287.9,974.68,491.64,518.48,455.05,477.47,1229.87,425.68,521.69,687.31,764.28,312.59,481.39,854.55,464.49,440.77,576.77,1601.68,613.5,630.94,1648.81,3254.55,"t"
"46",545.81,596.45,435.59,794.19,221.92,585.16,426.28,536.35,548.21,305.8,1150.39,855.81,532.12,755.66,497.65,432.38,379.01,253.23,875.73,633.85,215.62,221.41,286.77,546.17,346.07,485.17,635.21,348.37,337.85,630.89,613.72,613.3,376.21,970.94,254.51,815.25,1632.41,1287.79,335.44,213.42,731.39,416.55,544.18,440.29,634.65,735.83,370.17,474.08,453.95,583.92,276.1,637,742.84,546.72,491.99,588.48,1299.86,604.53,636.52,1335.27,2204.81,"t"
"47",543.33,560.24,392.26,946.54,179.44,850.87,607.72,403.7,311.46,207.29,644.6,519.97,364.94,654.9,469.64,291.56,329.59,373.06,555.41,444.43,219.96,255.47,181.34,783.18,410.32,401.85,393.69,214.67,423.77,1142.6,665.29,526.49,429.08,833.5,282.2,570.04,1577.39,933.36,544.71,228.6,525.45,463.32,306.44,273.76,374.26,1421.46,210.04,272,589.57,382.41,321.98,324.46,428.71,421.76,444.78,401.56,1489.46,684.2,439.72,879.1,2510.61,"t"
"48",343.47,601.53,206.47,845.7,83.82,542.23,540.41,212.04,235.97,141.78,437.31,357.12,201.21,522.03,200.76,192.72,249.67,329.11,429,396.07,183.48,195.28,106.54,613.15,307.34,496.27,294.82,128.96,355.05,664.03,604.19,421.27,395.82,520.38,237.72,480.46,1302.79,506.31,283.77,182.5,415.78,387.38,255.51,248.6,282.01,1092.37,202.99,274.33,474.6,291.67,289.66,244.78,367.14,221.62,331.47,384.01,1219.9,449.74,272.82,613.41,2208.14,"n"
"49",214.59,332.83,266.6,504.54,69.09,365.89,277.83,261.93,227.58,111.6,479.95,421.11,181.71,311.56,225.45,209.7,199.64,169.53,398.22,250.52,88.81,115.95,107.31,362.54,216.2,222.3,283.04,119.73,225.86,336.64,332.51,369.6,225.61,248.15,139.16,380.87,758.46,652.08,221.66,116.73,432.92,192.66,261.64,149.54,307.41,491.81,214.86,259.15,301.81,373.24,204.01,219.36,389.58,213.6,280.01,328.11,691.92,318.38,200.31,546.67,1481.44,"t"
"50",157.61,257.56,264.12,470.55,120.72,300.94,292.55,159.2,413.08,86.29,444.04,350.45,226.81,394.82,229.5,316,114.63,156.6,405.09,111.15,41.37,58.58,98.26,409.66,102.23,229.33,332.01,119.46,203.62,326.65,311.51,205.91,228.73,310.47,102.24,294.86,773.97,705.09,181.89,95.12,535.56,183.39,271.96,159.94,416.22,420.99,260.49,300.78,251.1,441.29,72.79,304.8,365.08,186.4,292.87,176.81,810.19,249.69,326.47,639.91,1710.24,"n"
"51",214.72,320.39,259.22,521.98,107.85,434.13,309.16,204.28,298.47,74.84,432.53,224.45,251.36,348,229.89,200.3,172.15,177.07,356.91,317.22,153.2,101.37,92.37,410.51,234.4,229.94,301.18,123.31,173.53,454.53,398.39,414.38,253.07,558.93,151.95,184.33,1097.35,609.57,155.71,103.36,428.98,210.09,225.71,156.18,246.39,428.49,188.68,340.42,317.01,302.1,246.89,167.26,331.99,101.13,361.32,307.1,723.11,311.84,337.91,698.21,1438.08,"n"
"52",284.75,447.07,313.69,496.01,60.7,382.36,257.38,320.53,568.85,102.25,591.68,695.66,303.79,581.73,276.06,301.28,210.56,165.9,587.08,422.44,187.03,121.7,110.55,400.77,249.96,264.78,420.8,192.8,184.86,431.06,363.41,383.39,231.04,547.22,133.03,273.24,1145.57,774.07,224.85,121.46,497.32,231.87,412.17,109.7,393.27,561.63,210.45,463.03,268.25,493.29,193.21,466.75,439.42,357.35,686.88,432.45,774.84,273.4,382.82,1645.22,1268.34,"t"
"53",129.47,213.31,173.51,313.27,41.55,251.51,167.12,175.15,260.5,77.39,325.66,222.49,219.22,173.33,173.17,124.45,70.79,94.92,239.35,206.27,98.81,72.41,88.14,267.44,121.01,84.46,213.23,82.84,131.93,213.41,281.86,212.89,157.43,263.29,70.96,194.43,586.33,412.1,111.01,97.61,263.8,130.83,189.2,101.41,197.08,352.96,132.05,191.48,222.33,232.23,139.64,159.65,231.62,88.07,207.97,220.49,545.44,185.91,165.38,522.08,899.53,"t"
"54",235.05,382.69,288.92,657.83,89.19,360.93,345.21,244.04,212.13,147.15,480.64,376.8,260.68,318.62,321.08,238.37,251.01,212.39,382.72,353.49,131.43,146.11,141.8,304.76,301.16,323.81,218.54,176.93,241.33,269.75,500.08,410.46,292.71,426.22,207.92,158.27,1461.47,556.76,144.63,168.04,443.76,218.98,241.97,160.2,306.34,352.71,203.94,264.74,414.66,347.93,245.51,211.03,354.17,148.12,186.5,352.07,568.97,327.23,272.24,296.6,1970.13,"n"
